"query","search interest","increase percent"
"green gates cafe",2,"Breakout"
"is gareth gates gay",2,"Breakout"
"gates of olympus super scatter demo",2,"Breakout"
"residential gates",1,"Breakout"
"bill gates religion",1,"Breakout"
"what does bill gates own",1,"Breakout"
"green gates renfrew",1,"Breakout"
"piper at the gates of dusk",1,"Breakout"
"cannock gates",1,"Breakout"
"screwfix garden gates",1,"180%"
"borrowdale gates hotel",3,"180%"
"stansted gates",4,"160%"
"side gates for house",1,"140%"
"wooden drive gates",1,"120%"
"josh gates",2,"110%"
"broxton gates",1,"90%"
"gates of olympus 1000",1,"80%"
"aluminium driveway gates",1,"80%"
"gates of olympus",6,"80%"
"the gates movie",3,"80%"
"the gates 2026",7,"80%"
"gates stevenage",3,"70%"
"green gates glasgow",2,"70%"
"gates garden centre stapleton",1,"70%"
"b&q garden gates",2,"70%"
"bill gates ticks",3,"60%"
"ford gates",8,"60%"
"tom gates books in order",1,"50%"
"aluminium gates",7,"50%"
"electric gates for driveways",1,"50%"
"gates ford",8,"50%"
"green gates",12,"40%"
"the drama",3,"40%"
"wickes garden gates",2,"40%"
"gates of hell",12,"40%"
"white gates",7,"30%"
"gates harlow",3,"20%"
"gates garden centre",13,"20%"
"wooden gates driveway",5,"20%"
"automatic gates",5,"20%"
"metal gates uk",2,"20%"
"gareth gates",19,"10%"
"composite garden gates",3,"10%"
"gates tyres",2,"10%"
"gates mcfadden",1,"10%"
"bus gates aberdeen",1,"10%"
"steel gates",4,"10%"
"kevin gates",6,"7%"
"garden gate",8,"6%"
"b&q gates",4,"6%"
