"query","search interest","increase percent"
"the gates",100,"-2%"
"bill gates",64,"-6%"
"garden gates",57,"0%"
"wooden gates",29,"-5%"
"driveway gates",22,"-7%"
"electric gates",20,"-3%"
"metal gates",19,"-20%"
"gareth gates",19,"10%"
"tom gates",13,"-3%"
"gates garden centre",13,"20%"
"baby gates",12,"-1%"
"gates of hell",12,"40%"
"green gates",12,"40%"
"composite gates",11,"0%"
"iron gates",10,"-10%"
"garden gates wooden",8,"2%"
"wooden garden gates",8,"-3%"
"garden gate",8,"6%"
"ford gates",8,"60%"
"gates ford",8,"50%"
"white gates",7,"30%"
"side gates",7,"-20%"
"aluminium gates",7,"50%"
"the gates 2026",7,"80%"
"stair gates",7,"-20%"
"security gates",6,"1%"
"logic gates",6,"-50%"
"sliding gates",6,"1%"
"gates of olympus",6,"80%"
"kevin gates",6,"7%"
"wrought iron gates",6,"-9%"
"timber gates",5,"0%"
"wooden gates driveway",5,"20%"
"automatic gates",5,"20%"
"dog gates",5,"-2%"
"garden gates metal",5,"-10%"
"enemy at the gates",4,"-6%"
"stansted gates",4,"160%"
"wooden driveway gates",4,"3%"
"b&q gates",4,"6%"
"steel gates",4,"10%"
"garden gates near me",4,"-10%"
"gates foundation",4,"-30%"
"tom gates books",4,"-10%"
"metal garden gates",4,"-20%"
"spend bill gates money",4,"-20%"
"safety gates",3,"-10%"
"bill gates ticks",3,"60%"
"wooden gates near me",3,"-5%"
"the gates movie",3,"80%"
