"Time","Steel Gates","gates","sliding gates"
"2026-05-08T11:12:00Z",0,44,0
"2026-05-08T11:28:00Z",0,49,0
"2026-05-08T11:44:00Z",0,47,0
"2026-05-08T12:00:00Z",0,44,0
"2026-05-08T12:16:00Z",0,47,0
"2026-05-08T12:32:00Z",0,49,0
"2026-05-08T12:48:00Z",0,46,0
"2026-05-08T13:04:00Z",0,46,0
"2026-05-08T13:20:00Z",0,42,0
"2026-05-08T13:36:00Z",0,48,0
"2026-05-08T13:52:00Z",0,45,0
"2026-05-08T14:08:00Z",0,38,0
"2026-05-08T14:24:00Z",0,42,0
"2026-05-08T14:40:00Z",0,35,0
"2026-05-08T14:56:00Z",0,40,0
"2026-05-08T15:12:00Z",5,36,0
"2026-05-08T15:28:00Z",0,36,0
"2026-05-08T15:44:00Z",0,38,0
"2026-05-08T16:00:00Z",0,36,0
"2026-05-08T16:16:00Z",0,37,0
"2026-05-08T16:32:00Z",0,36,0
"2026-05-08T16:48:00Z",0,44,0
"2026-05-08T17:04:00Z",0,44,0
"2026-05-08T17:20:00Z",0,37,0
"2026-05-08T17:36:00Z",0,39,0
"2026-05-08T17:52:00Z",0,38,0
"2026-05-08T18:08:00Z",0,47,0
"2026-05-08T18:24:00Z",0,42,0
"2026-05-08T18:40:00Z",0,42,0
"2026-05-08T18:56:00Z",0,39,0
"2026-05-08T19:12:00Z",0,39,0
"2026-05-08T19:28:00Z",0,40,0
"2026-05-08T19:44:00Z",0,35,0
"2026-05-08T20:00:00Z",0,33,0
"2026-05-08T20:16:00Z",0,36,0
"2026-05-08T20:32:00Z",0,36,0
"2026-05-08T20:48:00Z",0,38,0
"2026-05-08T21:04:00Z",0,36,0
"2026-05-08T21:20:00Z",0,36,0
"2026-05-08T21:36:00Z",0,33,0
"2026-05-08T21:52:00Z",0,37,0
"2026-05-08T22:08:00Z",0,39,0
"2026-05-08T22:24:00Z",0,42,0
"2026-05-08T22:40:00Z",0,38,0
"2026-05-08T22:56:00Z",0,33,0
"2026-05-08T23:12:00Z",0,33,0
"2026-05-08T23:28:00Z",0,36,0
"2026-05-08T23:44:00Z",0,43,0
"2026-05-09T00:00:00Z",0,25,0
"2026-05-09T00:16:00Z",25,36,0
"2026-05-09T00:32:00Z",0,56,28
"2026-05-09T00:48:00Z",0,45,0
"2026-05-09T01:04:00Z",0,27,0
"2026-05-09T01:20:00Z",0,32,0
"2026-05-09T01:36:00Z",0,57,0
"2026-05-09T01:52:00Z",0,0,0
"2026-05-09T02:08:00Z",0,0,0
"2026-05-09T02:24:00Z",0,56,0
"2026-05-09T02:40:00Z",0,0,0
"2026-05-09T02:56:00Z",0,54,0
"2026-05-09T03:12:00Z",0,66,0
"2026-05-09T03:28:00Z",0,64,0
"2026-05-09T03:44:00Z",0,48,0
"2026-05-09T04:00:00Z",0,100,0
"2026-05-09T04:16:00Z",0,66,0
"2026-05-09T04:32:00Z",0,56,0
"2026-05-09T04:48:00Z",0,84,0
"2026-05-09T05:04:00Z",0,74,0
"2026-05-09T05:20:00Z",0,55,0
"2026-05-09T05:36:00Z",0,52,0
"2026-05-09T05:52:00Z",0,50,0
"2026-05-09T06:08:00Z",0,51,0
"2026-05-09T06:24:00Z",0,36,0
"2026-05-09T06:40:00Z",0,39,0
"2026-05-09T06:56:00Z",0,38,0
"2026-05-09T07:12:00Z",0,40,0
"2026-05-09T07:28:00Z",0,52,0
"2026-05-09T07:44:00Z",0,51,0
"2026-05-09T08:00:00Z",0,37,0
"2026-05-09T08:16:00Z",0,40,0
"2026-05-09T08:32:00Z",0,45,0
"2026-05-09T08:48:00Z",0,40,0
"2026-05-09T09:04:00Z",0,51,0
"2026-05-09T09:20:00Z",0,41,0
"2026-05-09T09:36:00Z",0,41,0
"2026-05-09T09:52:00Z",0,48,0
"2026-05-09T10:08:00Z",0,44,0
"2026-05-09T10:24:00Z",0,42,0
"2026-05-09T10:40:00Z",0,39,0
"2026-05-09T10:56:00Z",0,41,0
